Date,Product,Price,Quantity,Revenue,anomaly_flag
2024-02-01,Shirt,0.13749999999999998,0.42857142857142855,0.032258064516129004,1.0
2024-02-02,Jeans,0.42500000000000004,0.2857142857142857,0.3870967741935485,1.0
2024-02-03,Hat,0.024999999999999994,1.0,0.5161290322580645,1.0
2024-02-04,Shirt,0.12500000000000003,0.5714285714285714,0.0,1.0
2024-02-05,Shirt,1.0,0.5714285714285714,1.0,1.0
2024-02-06,Shirt,0.12500000000000003,0.5714285714285714,0.19354838709677424,1.0
2024-02-07,Jeans,0.44999999999999996,0.14285714285714285,0.032258064516129004,1.0
2024-02-08,Shoes,0.775,0.2857142857142857,1.0,1.0
2024-02-09,Hat,0.037500000000000006,1.0,0.596774193548387,1.0
2024-02-10,Jeans,0.475,0.2857142857142857,0.4838709677419355,1.0
2024-01-01,Shirt,0.12500000000000003,0.5714285714285714,0.19354838709677424,1.0
2024-01-02,Shirt,1.0,0.42857142857142855,0.0,1.0
2024-01-03,Jeans,0.44999999999999996,0.14285714285714285,0.032258064516129004,1.0
2024-01-04,Jeans,0.475,0.2857142857142857,0.4838709677419355,1.0
2024-01-05,Hat,0.012500000000000011,1.0,0.435483870967742,1.0
2024-01-06,Shirt,0.12500000000000003,0.5714285714285714,0.19354838709677424,1.0
2024-01-07,Shoes,0.825,0.14285714285714285,0.5161290322580645,1.0
2024-01-08,Hat,0.0,0.5714285714285714,0.35483870967741926,1.0
2024-01-09,Shirt,0.13749999999999998,0.42857142857142855,0.032258064516129004,1.0
2024-03-01,Jeans,0.44999999999999996,0.2857142857142857,0.435483870967742,1.0
2024-03-02,Hat,1.0,1.0,0.6774193548387097,1.0
2024-03-03,Shirt,0.12500000000000003,0.5714285714285714,0.19354838709677424,1.0
2024-03-04,Shirt,0.12500000000000003,0.5714285714285714,0.19354838709677424,1.0
2024-03-05,Shirt,0.12500000000000003,0.5714285714285714,0.19354838709677424,1.0
2024-03-06,Hat,0.037500000000000006,1.0,0.596774193548387,1.0
2024-03-07,Jeans,1.0,0.0,1.0,0.0
2024-03-08,Shoes,0.775,0.14285714285714285,0.4516129032258065,1.0
2024-03-09,Shirt,0.12500000000000003,0.5714285714285714,0.19354838709677424,1.0
2024-03-10,Hat,0.012500000000000011,1.0,0.19354838709677424,1.0
