Product_ID,Product_Name,Category,Sub_Category,Unit_Cost,Selling_Price,Opening_Stock_Jan,Qty_Sold_Jan,Qty_Sold_Feb,Qty_Sold_Mar,Qty_Sold_Apr,Qty_Sold_May,Qty_Sold_Jun,Qty_Sold_Jul,Qty_Sold_Aug,Qty_Sold_Sep,Qty_Sold_Oct,Qty_Sold_Nov,Qty_Sold_Dec,Lead_Time_Days,Ordering_Cost,Holding_Cost_Percent,Service_Level_Target,Total_Demand
P-001,"Laptop Gaming 15"" Elektronik",Elektronik,Laptop,12500000.0,15750000.0,25,8,7,9,6,10,12,11,9,8,13,15,14,7,250000.0,0.2,0.95,122
P-002,Wireless Mouse Bluetooth,Elektronik,Aksesori,550000.0,750000.0,30,10,8,12,15,11,9,14,12,13,18,22,20,3,50000.0,0.15,0.9,164
P-003,Kaos Polo Katun Premium,Pakaian,Pria,120000.0,199999.0,100,45,38,52,48,55,60,58,62,65,70,75,80,10,75000.0,0.25,0.98,708
P-004,Blender Multifungsi 5In1,Elektronik,Dapur,450000.0,699000.0,30,12,10,15,18,14,16,13,11,9,22,20,18,5,52500.0,0.18,0.9,178
P-005,Buku Catatan A5 Premium,Alat Tulis,Buku,25000.0,45000.0,200,65,55,70,68,72,80,78,85,88,95,100,105,2,30000.0,0.1,0.85,961
P-006,Sweater Hoodie Fleece,Pakaian,Wanita,185000.0,299000.0,60,22,25,30,28,32,35,33,38,40,45,50,55,12,80000.0,0.22,0.92,433
P-007,Powerbank 20000Mah Fast Charge,Elektronik,Aksesori,225000.0,349000.0,40,18,15,20,22,19,24,21,23,25,30,35,32,4,60000.0,0.18,0.88,284
P-008,Unknown Product,Pakaian,Pria,85000.0,149000.0,80,30,28,35,32,38,40,42,45,48,55,60,65,8,70000.0,0.2,0.94,518
P-009,Panci Stainless Steel 24Cm,Dapur & Masak,Peralatan Masak,175000.0,275000.0,35,10,12,15,14,18,20,16,14,12,25,22,20,6,65000.0,0.15,0.89,198
P-010,Headphone Noise Cancelling,Elektronik,Audio,950000.0,1299000.0,15,3,4,6,5,7,8,6,5,4,9,10,8,14,300000.0,0.25,0.96,75
P-011,Casing Hp Anti Shock,Elektronik,Aksesori,75000.0,125000.0,120,40,35,45,50,48,55,52,58,60,70,75,78,1,20000.0,0.3,0.87,666
P-012,Sabun Mandi Cair Lavender,Perawatan Diri,Mandi,35000.0,60000.0,150,60,55,65,70,68,75,72,78,80,90,95,100,2,25000.0,0.4,0.82,908
P-013,Pensil Mekanik 0.5Mm,Alat Tulis,Pensil,15000.0,28000.0,300,110,105,115,120,125,130,128,135,140,150,160,165,1,10000.0,0.5,0.75,1583
P-014,Gula Pasir 1Kg,Makanan & Minuman,Bahan Dasar,14000.0,18000.0,200,80,75,85,90,88,95,92,98,100,110,115,120,3,15000.0,0.05,0.99,1148
P-015,Kopi Arabica 250Gr,Makanan & Minuman,Minuman,75000.0,120000.0,80,25,22,30,28,32,35,33,36,38,45,50,55,5,50000.0,0.15,0.93,429
P-016,Lampu Led 10W Elektronik,Elektronik,Pencahayaan,35000.0,65000.0,90,28,25,32,35,33,40,38,42,45,55,60,65,4,40000.0,0.12,0.91,498
P-017,Tempat Sampah Stainless 30L,Rumah Tangga,Dekorasi,120000.0,189000.0,25,6,5,8,9,7,10,8,9,7,12,11,10,9,55000.0,0.18,0.86,102
P-018,Charger Fast Charging 45W,Elektronik,Aksesori,150000.0,229000.0,45,14,12,16,18,15,20,17,19,21,25,28,30,3,45000.0,0.22,0.89,235
P-019,Kemeja Linen Casual,Pakaian,Pria,220000.0,359000.0,55,18,15,22,20,24,28,26,29,30,35,40,42,10,85000.0,0.2,0.94,329
P-020,Ransel Laptop Anti Air,Elektronik,Aksesori,185000.0,315000.0,40,12,10,14,16,13,18,15,17,16,22,25,27,5,60000.0,0.25,0.92,205
